TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths,IsOverdraft
33,Cust6549,Acc12334,Credit,Withdrawal,Savings Account,Firm C,Central,Manager 1,2023-10-21,87480.05448,74008.4331,0.729101374,319,200,False
177,Cust2942,Acc52650,Credit,Withdrawal,Home Loan,Firm A,East,Manager 3,2023-06-20,20315.74505,22715.8359,0.472423679,692,47,False
178,Cust6776,Acc45101,Current,Deposit,Personal Loan,Firm C,South,Manager 3,2023-01-02,10484.57165,42706.0921,0.648784394,543,109,False
173,Cust2539,Acc88252,Current,Withdrawal,Mutual Fund,Firm A,Central,Manager 2,2023-07-25,45122.27373,114176.5687,0.734831865,430,103,False
67,Cust2626,Acc21878,Savings,Withdrawal,Home Loan,Firm C,Central,Manager 4,2023-07-25,42360.79878,17863.02644,0.289304107,468,234,False
96,Cust4684,Acc45101,Savings,Deposit,Personal Loan,Firm D,South,Manager 1,2024-01-01,68914.59783,61992.54273,0.39977968,437,65,False
57,Cust8416,Acc49422,Loan,Deposit,Credit Card,Firm A,West,Manager 4,2024-01-08,47538.12665,92956.90293,0.527219006,632,63,False
27,Cust9731,Acc12182,Loan,Payment,Savings Account,Firm A,North,Manager 2,2023-10-16,51935.49405,140369.899,0.840355897,487,186,False
25,Cust8155,Acc11188,Credit,Withdrawal,Personal Loan,Firm E,South,Manager 4,2023-10-24,67602.35218,78966.75783,0.314228296,517,207,False
138,Cust2067,Acc28292,Credit,Deposit,Savings Account,Firm B,West,Manager 4,2024-01-08,35930.46511,69716.54246,0.456503389,324,68,False
68,Cust8279,Acc20297,Loan,Transfer,Mutual Fund,Firm E,South,Manager 3,2023-03-18,45684.53849,109886.2309,0.129710707,595,51,False
6,Cust5385,Acc29396,Loan,Payment,Credit Card,Firm A,West,Manager 2,2023-08-10,41901.77776,114749.6626,0.673299439,612,160,False
195,Cust5920,Acc29396,Credit,Transfer,Personal Loan,Firm D,East,Manager 3,2023-11-20,71906.85992,92425.09938,0.576964331,367,135,False
111,Cust8529,Acc34821,Credit,Withdrawal,Savings Account,Firm B,South,Manager 4,2023-09-11,63101.51893,52649.2239,0.284473481,708,31,False
35,Cust5664,Acc65545,Credit,Transfer,Home Loan,Firm B,East,Manager 3,2023-10-16,69535.56057,39320.18219,0.243704161,469,47,False
70,Cust9683,Acc30146,Savings,Transfer,Credit Card,Firm B,North,Manager 2,2023-03-13,38590.38559,40764.53274,0.544225279,793,112,False
195,Cust5920,Acc47099,Current,Payment,Home Loan,Firm E,North,Manager 2,2023-10-18,70859.94786,107562.9225,0.001591171,627,205,False
10,Cust9731,Acc94203,Loan,Deposit,Credit Card,Firm D,Central,Manager 4,2023-02-04,65796.36817,87814.53434,0.331727443,495,203,False
25,Cust7345,Acc17688,Loan,Withdrawal,Personal Loan,Firm C,West,Manager 2,2023-09-30,57615.49929,87484.18747,0.487831899,345,217,False
136,Cust7933,Acc88516,Savings,Withdrawal,Home Loan,Firm B,North,Manager 4,2023-10-16,56019.971,41877.24564,0.42932946,680,195,False
171,Cust7651,Acc83848,Credit,Deposit,Home Loan,Firm A,West,Manager 3,2023-05-11,43922.88045,104717.1314,0.344847416,517,56,False
52,Cust7730,Acc11837,Savings,Transfer,Savings Account,Firm B,South,Manager 1,2023-01-28,26407.07559,168187.0333,0.856500416,596,147,False
92,Cust2188,Acc88449,Savings,Transfer,Savings Account,Firm B,Central,Manager 1,2024-03-02,375.4909042,75497.95481,0.549852616,465,97,False
140,Cust5894,Acc74631,Credit,Payment,Home Loan,Firm E,West,Manager 4,2023-04-17,40998.07074,72813.3392,0.450102097,701,105,False
145,Cust1749,Acc39500,Credit,Withdrawal,Savings Account,Firm C,South,Manager 2,2023-04-19,21887.48815,52728.1938,0.465837064,318,106,False
34,Cust3109,Acc10117,Savings,Deposit,Home Loan,Firm E,West,Manager 3,2023-02-21,67555.28072,89667.83479,0.206170491,611,85,False
40,Cust6350,Acc23985,Credit,Transfer,Home Loan,Firm C,East,Manager 1,2023-02-23,19798.24927,118433.667,0.31547769,815,163,False
110,Cust5428,Acc45907,Savings,Payment,Savings Account,Firm C,Central,Manager 4,2024-01-20,58084.47372,55884.95869,0.625163505,845,92,False
66,Cust9535,Acc39500,Savings,Withdrawal,Personal Loan,Firm C,East,Manager 3,2023-07-26,24381.98998,49853.0933,0.137846049,527,124,False
158,Cust1467,Acc45951,Current,Withdrawal,Mutual Fund,Firm E,East,Manager 3,2023-11-29,19454.38267,87894.08403,0.435720769,608,60,False
93,Cust5174,Acc80442,Loan,Withdrawal,Home Loan,Firm C,Central,Manager 3,2023-10-21,85198.90855,53348.2227,0.75263131,396,152,False
128,Cust5320,Acc18140,Loan,Deposit,Credit Card,Firm C,East,Manager 4,2023-08-06,45680.91092,62110.36954,0.0,619,32,False
109,Cust3069,Acc82947,Savings,Withdrawal,Savings Account,Firm D,Central,Manager 4,2023-12-09,23951.88198,34781.10231,0.296981238,375,14,False
92,Cust5174,Acc16664,Credit,Transfer,Mutual Fund,Firm B,South,Manager 2,2024-06-22,28562.48672,101656.4123,0.301735778,355,219,False
169,Cust2716,Acc49774,Credit,Transfer,Mutual Fund,Firm C,South,Manager 3,2024-06-11,45686.30798,57860.34237,0.516460744,520,132,False
72,Cust7994,Acc83269,Credit,Withdrawal,Home Loan,Firm B,Central,Manager 3,2023-05-04,37452.47901,70716.51762,0.482768366,823,238,False
193,Cust1888,Acc45521,Savings,Transfer,Credit Card,Firm A,East,Manager 4,2024-05-15,40320.0482,99121.23597,0.431139631,365,7,False
53,Cust1415,Acc72197,Savings,Withdrawal,Personal Loan,Firm D,North,Manager 3,2023-03-10,47889.96453,61618.22167,0.602471544,335,9,False
123,Cust8091,Acc81631,Savings,Deposit,Mutual Fund,Firm D,North,Manager 4,2024-02-21,70867.26134,53391.77801,0.521006266,601,67,False
185,Cust9079,Acc83269,Savings,Transfer,Home Loan,Firm C,South,Manager 1,2023-11-20,47068.8879,10514.9481,0.170651287,842,166,False
123,Cust5610,Acc21719,Credit,Transfer,Savings Account,Firm D,West,Manager 1,2023-06-01,43509.22709,98969.69014,0.233793623,513,136,False
163,Cust6735,Acc76549,Loan,Deposit,Home Loan,Firm A,Central,Manager 4,2023-01-17,28305.74163,107676.8457,0.511650109,583,204,False
134,Cust7730,Acc82926,Credit,Payment,Credit Card,Firm B,Central,Manager 4,2023-09-30,75087.04895,84694.5508,0.131526002,637,51,False
82,Cust7255,Acc61926,Loan,Transfer,Mutual Fund,Firm B,West,Manager 4,2023-10-23,57727.41464,31146.93546,0.533204015,621,11,False
81,Cust5253,Acc25811,Savings,Transfer,Mutual Fund,Firm C,Central,Manager 3,2023-10-19,11190.15925,28398.7263,0.199667757,520,231,False
28,Cust7933,Acc53466,Savings,Deposit,Credit Card,Firm D,North,Manager 3,2023-04-19,18181.67381,61719.15547,0.821862361,669,112,False
143,Cust6947,Acc67713,Savings,Withdrawal,Credit Card,Firm B,North,Manager 1,2023-04-14,71989.68093,112514.6346,0.391108828,344,89,False
83,Cust8529,Acc67713,Savings,Transfer,Personal Loan,Firm D,Central,Manager 3,2023-06-17,51398.85744,41859.61266,0.53702366,426,100,False
46,Cust2412,Acc61926,Loan,Deposit,Savings Account,Firm B,South,Manager 4,2024-04-25,42452.64305,55437.47524,0.502684158,828,18,False
199,Cust3059,Acc32890,Savings,Payment,Credit Card,Firm B,North,Manager 2,2023-11-07,25506.16436,73576.03395,0.0,572,143,False
40,Cust6029,Acc48501,Loan,Deposit,Savings Account,Firm D,West,Manager 2,2023-06-10,82458.54744,46986.2229,0.593118456,372,141,False
8,Cust1569,Acc15228,Credit,Withdrawal,Savings Account,Firm D,South,Manager 2,2023-01-13,68490.37795,133706.9055,0.757320042,345,215,False
53,Cust2457,Acc76597,Credit,Deposit,Savings Account,Firm A,South,Manager 1,2023-07-05,61551.85865,63536.18056,0.174416339,724,205,False
149,Cust5545,Acc29396,Savings,Transfer,Credit Card,Firm B,South,Manager 1,2023-03-16,82049.2005,123838.8067,0.738166209,638,47,False
199,Cust7855,Acc62446,Savings,Transfer,Mutual Fund,Firm B,South,Manager 1,2023-12-10,76291.56759,86523.35971,0.180897053,701,147,False
29,Cust7345,Acc62446,Credit,Transfer,Home Loan,Firm B,West,Manager 1,2023-10-16,44871.29845,73772.30258,0.351504153,309,9,False
78,Cust9731,Acc16664,Savings,Withdrawal,Savings Account,Firm B,West,Manager 2,2024-01-17,9358.171117,67241.0388,0.549628316,723,94,False
107,Cust8390,Acc39529,Current,Deposit,Mutual Fund,Firm B,West,Manager 2,2023-08-16,63805.43306,105892.3378,0.575305634,648,91,False
